    PID    PPID STAT COMMAND
      1       0 Ss   bash /case/test.sh --inside
     14       1 S    bash /case/test.sh --inside
     52       1 Ss   python3 - 18 /case/evidence/output/.crash-monitor.sqmrZGG0 /case/evidence/output
   1028      52 S    bash -c stop_node_writers -q kill
   1029    1028 S    timeout --signal=TERM --kill-after=1 1 bash -c trap "" TERM; stop_node_writer_commands "$@" bash -q kill
   1030    1029 S    bash -c trap "" TERM; stop_node_writer_commands "$@" bash -q kill
   1036    1030 S    bash /case/bin/docker kill 0000000000000000000000000000000000000000000000000000000000000001
   1050      14 R    ps -eo pid,ppid,stat,args
   1051    1036 S    sleep 0.05
