EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_unchecked_guardian_pre_fix (AdmissionRequiresGuardian, 1s)
CHECK  soak_disk/MC_SoakDiskAdmission_retained_breach_pre_fix (started 05:08:33Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_retained_breach_pre_fix (RetainedBreachPreventsBenchmark, 1s)
CHECK  soak_disk/MC_SoakDiskAdmission_benchmark_band_pre_fix (started 05:08:34Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_benchmark_band_pre_fix (BenchmarkRequiresBand, 0s)
CHECK  soak_disk/MC_SoakDiskAdmission_late_guardian_pre_fix (started 05:08:34Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_late_guardian_pre_fix (BenchmarkBreachObserved, 1s)
CHECK  soak_disk/MC_SoakDiskAdmission_unwatched_death_pre_fix (started 05:08:35Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_unwatched_death_pre_fix (BenchmarkCancellationObserved, 1s)
CHECK  soak_disk/MC_SoakDiskAdmission_unwatched_breach_pre_fix (started 05:08:36Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_unwatched_breach_pre_fix (BenchmarkCancellationObserved, 1s)
CHECK  soak_disk/MC_SoakDiskAdmission_unchecked_progress_pre_fix (started 05:08:37Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_unchecked_progress_pre_fix (StaleProgressPreventsAdmission, 1s)
CHECK  soak_disk/MC_SoakDiskAdmission_unbounded_hygiene_pre_fix (started 05:08:38Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_unbounded_hygiene_pre_fix (HygieneWithinBudget, 2s)
CHECK  soak_disk/MC_SoakDiskAdmission_unchecked_range_pre_fix (started 05:08:40Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_unchecked_range_pre_fix (AdmissionRequiresValidDiskSettings, 1s)
CHECK  soak_disk/MC_SoakDiskAdmission_age_only_pre_fix (started 05:08:41Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_age_only_pre_fix (UnownedSessionPreserved, 1s)
CHECK  soak_disk/MC_SoakDiskAdmission_ignore_errors_pre_fix (started 05:08:42Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_ignore_errors_pre_fix (CleanupFailurePreventsAdmission, 3s)
CHECK  soak_disk/MC_SoakDiskAdmission_global_prune_pre_fix (started 05:08:45Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_global_prune_pre_fix (UnownedDockerResourcesPreserved, 1s)
CHECK  soak_disk/MC_SoakDiskAdmission_unrecorded_pre_fix (started 05:08:46Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_unrecorded_pre_fix (CrashRequiresRefusal, 1s)
CHECK  soak_disk/MC_SoakDiskAdmission_unrecorded_benchmark_pre_fix (started 05:08:47Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_unrecorded_benchmark_pre_fix (BenchmarkCrashRequiresRefusal, 1s)
CHECK  soak_disk/MC_SoakDiskAdmission_iteration_only_pre_fix (started 05:08:48Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_iteration_only_pre_fix (BenchmarkMonitorDeathObserved, 1s)
CHECK  soak_disk/MC_SoakDiskAdmission_unchecked_monitor_pre_fix (started 05:08:49Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_unchecked_monitor_pre_fix (MonitorDeathPreventsAdmission, 1s)
CHECK  soak_disk/MC_SoakDiskAdmission_unchecked_placement_pre_fix (started 05:08:50Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_unchecked_placement_pre_fix (UnverifiedPlacementPreventsAdmission, 1s)
CHECK  soak_disk/MC_SoakDiskAdmission_pathname_pre_fix (started 05:08:51Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_pathname_pre_fix (UntrustedRecordPreventsAdmission, 1s)
CHECK  soak_disk/MC_SoakDiskAdmission_attribute_first_pre_fix (started 05:08:52Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_attribute_first_pre_fix (AttributionRequiresRecord, 1s)
CHECK  soak_disk/MC_SoakDiskAdmission_in_place_pre_fix (started 05:08:53Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_in_place_pre_fix (VisibleImpliesComplete, 1s)
CHECK  soak_disk/MC_SoakDiskAdmission_unchecked_producer_pre_fix (started 05:08:54Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskAdmission_unchecked_producer_pre_fix (FailedProducerPreservesRecord, 1s)
CHECK  soak_disk/MC_SoakDiskGuardian_unwatched_pre_fix (started 05:08:55Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_unwatched_pre_fix (DeadGuardianRequiresInterrupt, 0s)
CHECK  soak_disk/MC_SoakDiskGuardian_unavailable_sample_pre_fix (started 05:08:55Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_unavailable_sample_pre_fix (InvalidSampleRequiresInterrupt, 1s)
CHECK  soak_disk/MC_SoakDiskGuardian_unbounded_probe_pre_fix (started 05:08:56Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_unbounded_probe_pre_fix (ProbeWithinDeadline, 1s)
CHECK  soak_disk/MC_SoakDiskGuardian_stop_first_pre_fix (started 05:08:57Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_stop_first_pre_fix (StopRequiresRecord, 0s)
CHECK  soak_disk/MC_SoakDiskGuardian_per_root_deadline_pre_fix (started 05:08:57Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_per_root_deadline_pre_fix (AttributionWithinBudget, 1s)
CHECK  soak_disk/MC_SoakDiskGuardian_cleared_breach_pre_fix (started 05:08:58Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_cleared_breach_pre_fix (RetainedBreachStopsRestart, 1s)
CHECK  soak_disk/MC_SoakDiskGuardian_unbounded_stop_pre_fix (started 05:08:59Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_unbounded_stop_pre_fix (StopWithinBudget, 1s)
CHECK  soak_disk/MC_SoakDiskGuardian_alive_only_pre_fix (started 05:09:00Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_alive_only_pre_fix (StaleGuardianRequiresInterrupt, 1s)
CHECK  soak_disk/MC_SoakDiskGuardian_client_only_pre_fix (started 05:09:01Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_client_only_pre_fix (ExitStopsWriters, 0s)
CHECK  soak_disk/MC_SoakDiskGuardian_rate_exceeds_floor_pre_fix (started 05:09:02Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_rate_exceeds_floor_pre_fix (NoOverrun, 1s)
CHECK  soak_disk/MC_SoakDiskGuardian_unconfirmed_stop_pre_fix (started 05:09:02Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_unconfirmed_stop_pre_fix (NoOverrun, 2s)
CHECK  soak_disk/MC_SoakDiskGuardian_ignored_pre_fix (started 05:09:04Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_ignored_pre_fix (FailedStopRetained, 0s)
CHECK  soak_disk/MC_SoakDiskGuardian_name_only_pre_fix (started 05:09:04Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_name_only_pre_fix (UnownedWritersPreserved, 1s)
CHECK  soak_disk/MC_SoakDiskGuardian_host_pattern_only_pre_fix (started 05:09:05Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_host_pattern_only_pre_fix (UnownedHostWritersPreserved, 1s)
CHECK  soak_disk/MC_SoakDiskGuardian_oom_pattern_only_pre_fix (started 05:09:06Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_oom_pattern_only_pre_fix (UnownedPreferencesPreserved, 0s)
CHECK  soak_disk/MC_SoakDiskGuardian_periodic_name_pre_fix (started 05:09:06Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_periodic_name_pre_fix (UnownedContainerPreferencesPreserved, 1s)
CHECK  soak_disk/MC_SoakDiskGuardian_parent_group_pre_fix (started 05:09:07Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_parent_group_pre_fix (CrashStopsOwnedWriters, 0s)
CHECK  soak_disk/MC_SoakDiskGuardian_unconditional_pre_fix (started 05:09:07Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_unconditional_pre_fix (HandledExitHasNoExtraStop, 1s)
CHECK  soak_disk/MC_SoakDiskGuardian_startup_only_pre_fix (started 05:09:08Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_startup_only_pre_fix (DeadMonitorRequiresInterrupt, 1s)
CHECK  soak_disk/MC_SoakDiskGuardian_drain_first_pre_fix (started 05:09:09Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_drain_first_pre_fix (DrainRequiresOwnedStop, 1s)
CHECK  soak_disk/MC_SoakDiskGuardian_unmanaged_pre_fix (started 05:09:10Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_unmanaged_pre_fix (ControllerLossStopsOwnedWriters, 0s)
CHECK  soak_disk/MC_SoakDiskGuardian_start_first_pre_fix (started 05:09:10Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_start_first_pre_fix (UnavailableQueryPreventsRelease, 1s)
CHECK  soak_disk/MC_SoakDiskGuardian_unbounded_pre_fix (started 05:09:11Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_unbounded_pre_fix (ResponseWithinDeadline, 1s)
CHECK  soak_disk/MC_SoakDiskGuardian_parent_only_pre_fix (started 05:09:12Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_parent_only_pre_fix (UntrustedControlPreventsRelease, 1s)
CHECK  soak_disk/MC_SoakDiskGuardian_blocking_pre_fix (started 05:09:13Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakDiskGuardian_blocking_pre_fix (ShutdownIndependentOfSync, 0s)
CHECK  soak_disk/MC_SoakStorageBudget_uncapped_blocks_pre_fix (started 05:09:13Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakStorageBudget_uncapped_blocks_pre_fix (WithinBudget, 1s)
CHECK  soak_disk/MC_SoakStorageBudget_uncapped_logs_pre_fix (started 05:09:14Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakStorageBudget_uncapped_logs_pre_fix (WithinBudget, 1s)
CHECK  soak_disk/MC_SoakStorageBudget_uncapped_history_pre_fix (started 05:09:15Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_SoakStorageBudget_uncapped_history_pre_fix (WithinBudget, 0s)
CHECK  soak_disk/MC_MetricBaseline_zero_pre_fix (started 05:09:15Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_MetricBaseline_zero_pre_fix (MissingBaselineUnavailable, 1s)
CHECK  soak_disk/MC_MetricMonotonicity_unchecked_pre_fix (started 05:09:16Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_MetricMonotonicity_unchecked_pre_fix (DecreasingSamplesUnavailable, 1s)
CHECK  soak_disk/MC_MetricSampleValidity_unchecked_pre_fix (started 05:09:17Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_MetricSampleValidity_unchecked_pre_fix (InvalidSamplesRejected, 0s)
CHECK  soak_disk/MC_MetricSummary_omitted_pre_fix (started 05:09:17Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_MetricSummary_omitted_pre_fix (CollectedRequiredPublished, 1s)
CHECK  soak_disk/MC_ReserveBound_unbounded_pre_fix (started 05:09:18Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_ReserveBound_unbounded_pre_fix (OperatingReserveHeld, 0s)
CHECK  soak_disk/MC_RetentionReserve_unskipped_pre_fix (started 05:09:18Z, cap 2m)
EXPECTED-FAIL soak_disk/MC_RetentionReserve_unskipped_pre_fix (ReserveHeld, 1s)
CHECK  deploy_storage/MC_DeployStorageBound_unmetered_pre_fix (started 05:09:19Z, cap 2m)
EXPECTED-FAIL deploy_storage/MC_DeployStorageBound_unmetered_pre_fix (RetainedWithinPhlo, 0s)
All 13 post-fix TLA+ configurations clean.
All 61 negative controls violated their expected invariants.
